"date","book_title","author","publisher","category","this_week_position","last_week_position","total_weeks","full_text"
2025-08-03,"BEHIND THE BADGE","Johnny Joey Jones","Fox News.","Nonfiction",14,5,5,"14       BEHIND THE BADGE, by Johnny Joey Jones. (Fox News.) The Fox News military                  5            5 analyst extols the first responders among his friends and family."
2025-08-03,"2024","Josh Dawsey, Tyler Pager and Isaac Arnsdorf","Penguin Press.","Nonfiction",15,4,2,"15       2024, by Josh Dawsey, Tyler Pager and Isaac Arnsdorf. (Penguin Press.)                     4            2 Journalists from The Wall Street Journal, The New York Times and The Washington Post examine the most recent presidential election campaign. Hawes Publications                                                                                          www.hawes.com"
2025-08-10,"NOT QUITE DEAD YET","Holly Jackson","Bantam.","Fiction",1,NA,1,"1      NOT QUITE DEAD YET, by Holly Jackson. (Bantam.) With only a week left to live after          --       1 a violent attack on Halloween, Jet Mason is determined to solve her own murder."
2025-08-10,"THE HAMPTONS LAWYER","James Patterson and Mike Lupica","Little, Brown.","Fiction",2,NA,1,"2      THE HAMPTONS LAWYER, by James Patterson and Mike Lupica. (Little, Brown.) The                --       1 third book in the Jane Smith thriller series. Taking on a celebrity client proves dangerous."
2025-08-10,"ATMOSPHERE","Taylor Jenkins Reid","Ballantine.","Fiction",3,4,8,"3      ATMOSPHERE, by Taylor Jenkins Reid. (Ballantine.) In the summer of 1980, Joan                4        8 Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-08-10,"THE ENCHANTED GREENHOUSE","Sarah Beth Durst","Bramble.","Fiction",4,2,2,"4      THE ENCHANTED GREENHOUSE, by Sarah Beth Durst. (Bramble.) In this novel set                  2        2 in the world of “The Spellshop,” Terlu Perna must figure out a sorcerer’s secrets to save an island containing magical greenhouses."
2025-08-10,"ARCANA ACADEMY","Elise Kova","Del Rey.","Fiction",5,NA,1,"5      ARCANA ACADEMY, by Elise Kova. (Del Rey.) To get out of prison, Clara Graysword              --       1 makes a deal with the headmaster of the Arcana Academy to help him steal a tarot card from the king."
2025-08-10,"AN INSIDE JOB","Daniel Silva","Harper.","Fiction",6,1,2,"6      AN INSIDE JOB, by Daniel Silva. (Harper.) The 25th book in the Gabriel Allon series.         1        2 The art world, the mob and the Vatican intersect when a Leonardo da Vinci painting goes missing."
2025-08-10,"ONYX STORM","Rebecca Yarros","Red Tower.","Fiction",7,9,27,"7      ONYX STORM, by Rebecca Yarros. (Red Tower.) The third book in the Empyrean                   9       27 series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025-08-10,"NEVER FLINCH","Stephen King","Scribner.","Fiction",8,7,9,"8      NEVER FLINCH, by Stephen King. (Scribner.) Holly Gibney does double duty by                  7        9 helping head off acts of retribution and protecting a women’s rights activist."
